RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 050 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 051 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 052 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 053 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 054 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 055 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 056 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 057 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 058 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 059 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 060 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 061 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 062 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 063 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 064 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 065 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 066 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 067 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 068 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 069 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 070 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 071 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 072 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 073 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 074 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 075 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 076 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 077 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 078 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 079 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
